Array Size,Threads,Cutoff,Avg Time (ms)
500000,2,135000,23
500000,2,145000,20
500000,2,155000,20
500000,2,165000,19
500000,2,175000,20
500000,2,185000,21
500000,2,195000,19
500000,2,205000,19
500000,2,215000,20
500000,2,225000,19
500000,2,235000,19
500000,2,245000,19
500000,2,255000,19
500000,2,265000,19
500000,2,275000,19
500000,2,285000,19
500000,2,295000,19
500000,2,305000,19
500000,2,315000,19
500000,2,325000,19
500000,2,335000,20
500000,2,345000,19
500000,2,355000,19
500000,2,365000,19
500000,2,375000,19
500000,4,135000,19
500000,4,145000,19
500000,4,155000,19
500000,4,165000,19
500000,4,175000,19
500000,4,185000,19
500000,4,195000,19
500000,4,205000,19
500000,4,215000,20
500000,4,225000,20
500000,4,235000,19
500000,4,245000,19
500000,4,255000,19
500000,4,265000,19
500000,4,275000,19
500000,4,285000,19
500000,4,295000,19
500000,4,305000,19
500000,4,315000,20
500000,4,325000,19
500000,4,335000,19
500000,4,345000,19
500000,4,355000,20
500000,4,365000,20
500000,4,375000,20
500000,8,135000,19
500000,8,145000,19
500000,8,155000,19
500000,8,165000,19
500000,8,175000,20
500000,8,185000,19
500000,8,195000,19
500000,8,205000,19
500000,8,215000,19
500000,8,225000,19
500000,8,235000,19
500000,8,245000,20
500000,8,255000,19
500000,8,265000,19
500000,8,275000,19
500000,8,285000,19
500000,8,295000,19
500000,8,305000,19
500000,8,315000,19
500000,8,325000,19
500000,8,335000,19
500000,8,345000,19
500000,8,355000,20
500000,8,365000,19
500000,8,375000,19
500000,16,135000,19
500000,16,145000,20
500000,16,155000,19
500000,16,165000,19
500000,16,175000,20
500000,16,185000,19
500000,16,195000,19
500000,16,205000,19
500000,16,215000,19
500000,16,225000,19
500000,16,235000,19
500000,16,245000,19
500000,16,255000,19
500000,16,265000,19
500000,16,275000,20
500000,16,285000,19
500000,16,295000,19
500000,16,305000,19
500000,16,315000,19
500000,16,325000,19
500000,16,335000,19
500000,16,345000,20
500000,16,355000,20
500000,16,365000,19
500000,16,375000,19
500000,32,135000,19
500000,32,145000,20
500000,32,155000,19
500000,32,165000,20
500000,32,175000,19
500000,32,185000,19
500000,32,195000,20
500000,32,205000,20
500000,32,215000,20
500000,32,225000,20
500000,32,235000,19
500000,32,245000,19
500000,32,255000,19
500000,32,265000,20
500000,32,275000,20
500000,32,285000,20
500000,32,295000,19
500000,32,305000,19
500000,32,315000,19
500000,32,325000,20
500000,32,335000,19
500000,32,345000,20
500000,32,355000,20
500000,32,365000,20
500000,32,375000,20
500000,64,135000,20
500000,64,145000,19
500000,64,155000,20
500000,64,165000,19
500000,64,175000,19
500000,64,185000,19
500000,64,195000,20
500000,64,205000,19
500000,64,215000,20
500000,64,225000,20
500000,64,235000,19
500000,64,245000,19
500000,64,255000,20
500000,64,265000,20
500000,64,275000,20
500000,64,285000,19
500000,64,295000,20
500000,64,305000,20
500000,64,315000,20
500000,64,325000,19
500000,64,335000,20
500000,64,345000,20
500000,64,355000,19
500000,64,365000,20
500000,64,375000,20
500000,128,135000,20
500000,128,145000,20
500000,128,155000,20
500000,128,165000,19
500000,128,175000,20
500000,128,185000,20
500000,128,195000,20
500000,128,205000,20
500000,128,215000,20
500000,128,225000,20
500000,128,235000,20
500000,128,245000,20
500000,128,255000,20
500000,128,265000,20
500000,128,275000,20
500000,128,285000,20
500000,128,295000,20
500000,128,305000,19
500000,128,315000,20
500000,128,325000,20
500000,128,335000,20
500000,128,345000,20
500000,128,355000,20
500000,128,365000,20
500000,128,375000,20
1000000,2,260000,41
1000000,2,270000,41
1000000,2,280000,41
1000000,2,290000,41
1000000,2,300000,41
1000000,2,310000,41
1000000,2,320000,41
1000000,2,330000,42
1000000,2,340000,41
1000000,2,350000,41
1000000,2,360000,41
1000000,2,370000,42
1000000,2,380000,42
1000000,2,390000,42
1000000,2,400000,42
1000000,2,410000,42
1000000,2,420000,41
1000000,2,430000,42
1000000,2,440000,42
1000000,2,450000,42
1000000,2,460000,42
1000000,2,470000,42
1000000,2,480000,41
1000000,2,490000,42
1000000,2,500000,42
1000000,4,260000,42
1000000,4,270000,41
1000000,4,280000,42
1000000,4,290000,43
1000000,4,300000,42
1000000,4,310000,41
1000000,4,320000,41
1000000,4,330000,41
1000000,4,340000,41
1000000,4,350000,41
1000000,4,360000,41
1000000,4,370000,42
1000000,4,380000,42
1000000,4,390000,42
1000000,4,400000,42
1000000,4,410000,42
1000000,4,420000,43
1000000,4,430000,42
1000000,4,440000,42
1000000,4,450000,42
1000000,4,460000,42
1000000,4,470000,42
1000000,4,480000,42
1000000,4,490000,42
1000000,4,500000,42
1000000,8,260000,42
1000000,8,270000,42
1000000,8,280000,42
1000000,8,290000,42
1000000,8,300000,42
1000000,8,310000,42
1000000,8,320000,42
1000000,8,330000,42
1000000,8,340000,42
1000000,8,350000,42
1000000,8,360000,42
1000000,8,370000,42
1000000,8,380000,42
1000000,8,390000,42
1000000,8,400000,42
1000000,8,410000,41
1000000,8,420000,42
1000000,8,430000,42
1000000,8,440000,42
1000000,8,450000,41
1000000,8,460000,42
1000000,8,470000,42
1000000,8,480000,42
1000000,8,490000,42
1000000,8,500000,41
1000000,16,260000,42
1000000,16,270000,42
1000000,16,280000,41
1000000,16,290000,42
1000000,16,300000,42
1000000,16,310000,42
1000000,16,320000,41
1000000,16,330000,42
1000000,16,340000,42
1000000,16,350000,42
1000000,16,360000,42
1000000,16,370000,42
1000000,16,380000,42
1000000,16,390000,41
1000000,16,400000,42
1000000,16,410000,42
1000000,16,420000,42
1000000,16,430000,42
1000000,16,440000,42
1000000,16,450000,42
1000000,16,460000,42
1000000,16,470000,41
1000000,16,480000,41
1000000,16,490000,42
1000000,16,500000,42
1000000,32,260000,42
1000000,32,270000,42
1000000,32,280000,42
1000000,32,290000,42
1000000,32,300000,42
1000000,32,310000,42
1000000,32,320000,42
1000000,32,330000,42
1000000,32,340000,42
1000000,32,350000,43
1000000,32,360000,42
1000000,32,370000,42
1000000,32,380000,42
1000000,32,390000,42
1000000,32,400000,42
1000000,32,410000,42
1000000,32,420000,42
1000000,32,430000,41
1000000,32,440000,42
1000000,32,450000,42
1000000,32,460000,42
1000000,32,470000,42
1000000,32,480000,42
1000000,32,490000,42
1000000,32,500000,41
1000000,64,260000,42
1000000,64,270000,42
1000000,64,280000,42
1000000,64,290000,42
1000000,64,300000,41
1000000,64,310000,41
1000000,64,320000,42
1000000,64,330000,42
1000000,64,340000,42
1000000,64,350000,42
1000000,64,360000,41
1000000,64,370000,42
1000000,64,380000,43
1000000,64,390000,42
1000000,64,400000,42
1000000,64,410000,42
1000000,64,420000,42
1000000,64,430000,41
1000000,64,440000,42
1000000,64,450000,41
1000000,64,460000,41
1000000,64,470000,42
1000000,64,480000,42
1000000,64,490000,41
1000000,64,500000,41
1000000,128,260000,41
1000000,128,270000,41
1000000,128,280000,41
1000000,128,290000,41
1000000,128,300000,41
1000000,128,310000,41
1000000,128,320000,42
1000000,128,330000,41
1000000,128,340000,41
1000000,128,350000,41
1000000,128,360000,44
1000000,128,370000,42
1000000,128,380000,41
1000000,128,390000,42
1000000,128,400000,42
1000000,128,410000,42
1000000,128,420000,42
1000000,128,430000,41
1000000,128,440000,41
1000000,128,450000,41
1000000,128,460000,42
1000000,128,470000,42
1000000,128,480000,42
1000000,128,490000,42
1000000,128,500000,42
1500000,2,385000,65
1500000,2,395000,65
1500000,2,405000,66
1500000,2,415000,66
1500000,2,425000,66
1500000,2,435000,66
1500000,2,445000,66
1500000,2,455000,65
1500000,2,465000,66
1500000,2,475000,65
1500000,2,485000,65
1500000,2,495000,66
1500000,2,505000,65
1500000,2,515000,65
1500000,2,525000,65
1500000,2,535000,65
1500000,2,545000,65
1500000,2,555000,65
1500000,2,565000,66
1500000,2,575000,66
1500000,2,585000,65
1500000,2,595000,65
1500000,2,605000,65
1500000,2,615000,66
1500000,2,625000,65
1500000,4,385000,65
1500000,4,395000,65
1500000,4,405000,65
1500000,4,415000,65
1500000,4,425000,65
1500000,4,435000,65
1500000,4,445000,65
1500000,4,455000,65
1500000,4,465000,65
1500000,4,475000,66
1500000,4,485000,66
1500000,4,495000,65
1500000,4,505000,65
1500000,4,515000,65
1500000,4,525000,65
1500000,4,535000,65
1500000,4,545000,65
1500000,4,555000,65
1500000,4,565000,65
1500000,4,575000,65
1500000,4,585000,65
1500000,4,595000,65
1500000,4,605000,65
1500000,4,615000,66
1500000,4,625000,65
1500000,8,385000,65
1500000,8,395000,65
1500000,8,405000,65
1500000,8,415000,65
1500000,8,425000,65
1500000,8,435000,65
1500000,8,445000,64
1500000,8,455000,64
1500000,8,465000,65
1500000,8,475000,64
1500000,8,485000,65
1500000,8,495000,65
1500000,8,505000,65
1500000,8,515000,65
1500000,8,525000,65
1500000,8,535000,65
1500000,8,545000,65
1500000,8,555000,65
1500000,8,565000,65
1500000,8,575000,65
1500000,8,585000,67
1500000,8,595000,66
1500000,8,605000,65
1500000,8,615000,66
1500000,8,625000,66
1500000,16,385000,66
1500000,16,395000,65
1500000,16,405000,65
1500000,16,415000,65
1500000,16,425000,65
1500000,16,435000,65
1500000,16,445000,65
1500000,16,455000,65
1500000,16,465000,66
1500000,16,475000,65
1500000,16,485000,66
1500000,16,495000,65
1500000,16,505000,65
1500000,16,515000,65
1500000,16,525000,64
1500000,16,535000,65
1500000,16,545000,65
1500000,16,555000,64
1500000,16,565000,64
1500000,16,575000,65
1500000,16,585000,64
1500000,16,595000,65
1500000,16,605000,65
1500000,16,615000,64
1500000,16,625000,64
1500000,32,385000,65
1500000,32,395000,65
1500000,32,405000,64
1500000,32,415000,65
1500000,32,425000,64
1500000,32,435000,64
1500000,32,445000,64
1500000,32,455000,65
1500000,32,465000,64
1500000,32,475000,64
1500000,32,485000,64
1500000,32,495000,64
1500000,32,505000,64
1500000,32,515000,64
1500000,32,525000,64
1500000,32,535000,64
1500000,32,545000,64
1500000,32,555000,63
1500000,32,565000,65
1500000,32,575000,64
1500000,32,585000,63
1500000,32,595000,63
1500000,32,605000,64
1500000,32,615000,63
1500000,32,625000,64
1500000,64,385000,64
1500000,64,395000,63
1500000,64,405000,62
1500000,64,415000,63
1500000,64,425000,64
1500000,64,435000,64
1500000,64,445000,64
1500000,64,455000,62
1500000,64,465000,63
1500000,64,475000,63
1500000,64,485000,64
1500000,64,495000,63
1500000,64,505000,63
1500000,64,515000,63
1500000,64,525000,63
1500000,64,535000,64
1500000,64,545000,64
1500000,64,555000,64
1500000,64,565000,63
1500000,64,575000,64
1500000,64,585000,64
1500000,64,595000,64
1500000,64,605000,64
1500000,64,615000,65
1500000,64,625000,63
1500000,128,385000,64
1500000,128,395000,63
1500000,128,405000,63
1500000,128,415000,64
1500000,128,425000,64
1500000,128,435000,63
1500000,128,445000,64
1500000,128,455000,64
1500000,128,465000,64
1500000,128,475000,64
1500000,128,485000,63
1500000,128,495000,64
1500000,128,505000,63
1500000,128,515000,64
1500000,128,525000,63
1500000,128,535000,63
1500000,128,545000,63
1500000,128,555000,63
1500000,128,565000,64
1500000,128,575000,64
1500000,128,585000,64
1500000,128,595000,64
1500000,128,605000,64
1500000,128,615000,64
1500000,128,625000,65
2000000,2,510000,88
2000000,2,520000,87
2000000,2,530000,87
2000000,2,540000,88
2000000,2,550000,88
2000000,2,560000,86
2000000,2,570000,87
2000000,2,580000,87
2000000,2,590000,87
2000000,2,600000,87
2000000,2,610000,86
2000000,2,620000,85
2000000,2,630000,88
2000000,2,640000,88
2000000,2,650000,87
2000000,2,660000,87
2000000,2,670000,87
2000000,2,680000,87
2000000,2,690000,87
2000000,2,700000,87
2000000,2,710000,87
2000000,2,720000,87
2000000,2,730000,87
2000000,2,740000,86
